lineId	lineText	lineOptions	charId1	charId2	scoreEnd	SFX	BGM	Dialogue	BG	GOTO	VFX
Mon001	Hello, Despaired One…	Who are you?:Mon002;Where are we?:Mon003	Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	-1	null
Mon002	Who are you?		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon004	flashred
Mon003	Where are we?		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon004	null
Mon004	You are curious, that's good...		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon005	null
Mon005	Allow me three questions, and I shall reveal to you your name.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon006	null
Mon006	Firstly, what is ‘Calamity’ to you?	Distress and despair, resulting from loss…:Mon007;An event, a disaster that brings harm.:Mon008	Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	-1	null
Mon007	Distress and despair, resulting from loss…		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon009	null
Mon008	An event, a disaster that brings harm.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon009	null
Mon009	Next, what is fate to you?	Predetermined events that cannot be altered.:Mon010;An ending that results from my choices.:Mon011	Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	-1	null
Mon010	Predetermined events that cannot be altered.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon012	null
Mon011	An ending that results from my choices.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon012	null
Mon012	Finally, what is sacrifice to you?	An unfair exchange, my pain, used to benefit others.:Mon013;A charity, to bestow joy on another.:Mon014	Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	-1	null
Mon013	An unfair exchange, my pain, used to benefit others.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon015	null
Mon014	A charity, to bestow joy on another.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon015	null
Mon015	Hm... Excellent…		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon016	null
Mon016	Your answers are excellent.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon017	null
Mon017	Now I shall return the favour.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon018	null
Mon018	I chose a most beautiful name for you.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon019	null
Mon019	It’s…		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true		0				Black_Screen	Mon020	null
Mon020	ELIZA!		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Black_Screen	Mon021	null
Mon021	Wha-?		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Celia_House	Mon022	null
Mon022	Where am I?		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Celia_House	Mon023	null
Mon023	Wake up already! It's way past nine!		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Celia_House	Mon024	null
Mon024	Patients could arrive any moment!		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Celia_House	Mon025	null
Mon025	Patients… right. I have to get to work.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Celia_House	Mon026	null
Mon026	*I hop out of bed immediately, pulling on my dress as I stumble into the washroom to get ready.*		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Celia_House	Mon027	null
Mon027	Took you long enough, sleepyhead!		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon028	null
Mon028	(<i>This bundle of sunshine is Celia, the local florist and my childhood friend.</i>)		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Tent	Mon029	null
Mon029	It's about time you got up! I've been calling you for a long time!		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon030	null
Mon030	I’m awake, I'm awake...		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Tent	Mon031	null
Mon031	Here, take a look at this.		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon032	null
Mon032	*Celia shoves the daily newspaper into my hand.*		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Tent	Mon033	null
Mon033	This is...?		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Tent	Mon034	null
Mon034	The nearby town of Graem just went into chaos! People are leaving left and right!		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:false	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:true	0				Tent	Mon035	null
Mon035	Because of the Blue Plague?		Eliza_HealthyBodyHandDown_HealthyHeadNoFlowerSmileClosedMouth:true	Celia_HealthyBodyHandHold_HealthyHeadSmileOpenedMouth:false	0				Tent	Mon036	null
Mon036	(<i>The Blue Plague, a disease that's been spreading like wildfire all across Paalre.</i>)		Empty_Empty_Empty	Empty_Empty_Empty	0				Ruined_Magra	Mon037	null
