lineId	lineText	lineOptions	charId1	charId2	scoreEnd	SFX	BGM	Dialogue	BG	GOTO	VFX	
Mon001	Hello, Despaired One…	Who are you?:Mon002;Where are we?:Mon003			0		BGM_2		Black_Screen	-1	null	Every line needs to have a GOTO. If it's option, set GOTO to -1. If end of dialogue, set to 9999
Mon002	Who are you?				0				Black_Screen	Mon004	flashred	
Mon003	Where are we?				0				Black_Screen	Mon004	null	
Mon004	You are curious, that's good...				0				Black_Screen	Mon005	null	
Mon005	Allow me three questions, and I shall reveal to you your name.				0				Black_Screen	Mon006	null	
Mon006	Firstly, what is ‘Calamity’ to you?	Distress and despair, resulting from loss…:Mon007;An event, a disaster that brings harm.:Mon008			0				Black_Screen	-1	null	
Mon007	Distress and despair, resulting from loss…				0				Black_Screen	Mon009	null	
Mon008	An event, a disaster that brings harm.				0				Black_Screen	Mon009	null	
Mon009	Next, what is fate to you?	Predetermined events that cannot be altered.:Mon010;An ending that results from my choices.:Mon011			0				Black_Screen	-1	null	
Mon010	Predetermined events that cannot be altered.				0				Black_Screen	Mon012	null	
Mon011	An ending that results from my choices.				0				Black_Screen	Mon012	null	
Mon012	Finally, what is sacrifice to you?	An unfair exchange, my pain, used to benefit others.:Mon013;A charity, to bestow joy on another.:Mon014			0				Black_Screen	-1	null	
Mon013	An unfair exchange, my pain, used to benefit others.				0				Black_Screen	Mon015	null	
Mon014	A charity, to bestow joy on another.				0				Black_Screen	Mon015	null	
Mon015	Hm... Excellent…				0				Black_Screen	Mon016	null	
Mon016	Your answers are excellent.				0				Black_Screen	Mon017	null	
Mon017	Now I shall return the favour.				0				Black_Screen	Mon018	null	
Mon018	I chose a most beautiful name for you.				0				Black_Screen	Mon019	null	
Mon019	It’s…				0				Black_Screen	Mon020	null	
Mon020	ELIZA!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerCalmClosedMouth:false		0				Black_Screen	Mon021	changeLoc	
Mon021	Wha-?		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralOpenedMouth:true		0		BGM_1		Tent	Mon022	null	
Mon022	Where am I?		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralOpenedMouth:true		0				Tent	Mon023	null	
Mon023	Wake up already! It's way past nine!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralClosedMouth:false		0				Tent	Mon024	null	
Mon024	Patients could arrive any moment!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralClosedMouth:false		0				Tent	Mon025	null	
Mon025	Patients… right. I have to get to work.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerNeutralOpenedMouth:true		0				Tent	Mon026	null	
Mon026	Took you long enough, sleepyhead!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadHappyMouthOpen:true	0	Rustle2			Tent	Mon027	null	
Mon027	(<i>This bundle of sunshine is Celia, the local florist and my childhood friend.</i>)		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadHappyMouthClosed:true	0				Tent	Mon028	null	
Mon028	It's about time you got up! I've been calling you for a long time!		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadSmileMouthOpen:true	0				Tent	Mon029	null	
Mon029	I’m awake, I'm awake...		Eliza_HealthyBodyHandUpThinking_HealthyHeadNOFlowerCalmClosedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadSmileMouthClosed:false	0	Sigh			Tent	Mon030	null	
Mon030	Here, take a look at this.		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:false	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthOpen:true	0				Tent	Mon031	null	
Mon031	*Celia shoves the daily newspaper into my hand.*		Eliza_HealthyBodyHandDown_HealthyHeadNOFlowerSmileClosedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthClosed:false	0	Newspaper			Tent	Mon032	null	
Mon032	This is...?		Eliza_HealthyBodyHandUpPalm_HealthyHeadNOFlowerNeutralOpenedMouth:true	Celia_HealthyBodyHandDown_HealthyHeadWorriedMouthClosed:false	0				Tent	Mon033	null	
